zipcode,population
70003,120450
52402,120447
27530,120351
11580,120339
48911,120333
44105,120267
90278,120213
79915,120171
20747,120162
33160,120159
30701,120159
37343,120126
37660,120114
29150,120093
76542,120075
14215,119997
49504,119982
30165,119925
48170,119889
30605,119856
37043,119835
8094,119820
60062,119808
60107,119781
89104,119727
6106,119706
8857,119694
14224,119667
70058,119661
1040,119640
35401,119634
73034,119616
30294,119595
85205,119574
57106,119556
29203,119529
92308,119511
62704,119493
95621,119457
98092,119448
30519,119436
60446,119421
27292,119361
72701,119346
44111,119334
7666,119328
84020,119295
95404,119283
97230,119256
90815,119199
85379,119196
80010,119184
27893,119169
98837,119166
89148,119136
7011,119130
10301,119118
80126,119094
11370,119064
46383,119061
28306,119049
739,119034
23602,119028
10455,118995
83605,118947
94403,118926
30815,118920
32835,118899
83704,118884
46237,118872
8820,118770
28105,118758
27105,118704
59101,118686
29687,118683
6484,118677
76210,118668
8401,118662
11801,118659
80501,118563
85323,118521
13021,118518
1915,118506
91367,118497
33178,118467
95209,118464
90045,118440
92545,118371
34221,118371
78537,118362
43615,118323
65201,118251
48047,118245
90604,118221
98204,118140
80401,118134
47909,118119
97233,118101
33169,118059
95407,118056
77375,118053
27320,118053
90802,118041
33009,118023
93534,118023
92127,118011
90031,117948
75051,117855
91401,117855
78415,117813
983,117702
33610,117666
77057,117624
21220,117597
78209,117591
19701,117582
60193,117564
27519,117534
94117,117507
23225,117507
7712,117474
11357,117450
49508,117444
84770,117393
38115,117387
11421,117381
60101,117357
61201,117348
60025,117315
37620,117306
29621,117303
78230,117267
37920,117261
32935,117246
70056,117246
92555,117228
92231,117219
79762,117168
17403,117126
48212,117114
29526,117099
93292,117096
79424,117069
94605,117048
79927,117048
44720,117030
95210,117027
55113,116982
76112,116979
89015,116979
8012,116976
70570,116961
60074,116955
10583,116946
6513,116934
91701,116928
90020,116901
55119,116898
37128,116898
68516,116868
46203,116850
41017,116820
32224,116802
85286,116790
38002,116781
32073,116760
10952,116751
11413,116736
47905,116730
42303,116727
10034,116724
1801,116709
27526,116682
78759,116673
11106,116625
85017,116616
46385,116598
21702,116541
19426,116493
80537,116463
43065,116463
96707,116451
27215,116421
77539,116418
54701,116409
44134,116400
95762,116391
20748,116376
15068,116355
11103,116340
10705,116331
93635,116328
26505,116316
97202,116286
44224,116226
28358,116214
23188,116199
48221,116181
60462,116169
95129,116160
97219,116127
43224,116097
20706,116076
46368,116073
74055,116040
75019,115998
97303,115989
87108,115941
70737,115929
48154,115926
20743,115863
90029,115851
11369,115845
33139,115839
87110,115761
60067,115755
28092,115710
30228,115707
80920,115707
94804,115677
94578,115674
60110,115671
20001,115653
28806,115650
33428,115644
13501,115638
46140,115629
94582,115611
1752,115497
63122,115485
43235,115479
21804,115473
92620,115458
32256,115449
34983,115440
91776,115425
21236,115422
34655,115392
28212,115371
71111,115368
72756,115365
19808,115326
43147,115320
32404,115275
30319,115269
11779,115263
48601,115218
771,115182
89506,115137
27030,115122
40299,115113
8844,115101
10573,115056
46410,115020
85295,114996
85730,114969
94118,114957
48104,114945
7731,114912
21045,114864
34952,114855
44124,114846
49203,114840
92591,114816
33908,114753
34748,114738
90808,114696
22903,114687
8618,114687
76108,114681
6460,114621
646,114597
44120,114588
42420,114576
48198,114558
30809,114504
84065,114504
60477,114483
93552,114474
13601,114474
98501,114399
11554,114396
60624,114315
60659,114312
60133,114309
48146,114294
46254,114285
77009,114282
65109,114270
30120,114255
21042,114228
91942,114207
95205,114207
40219,114096
767,114057
78589,114012
18966,113997
70001,113988
77502,113985
84660,113985
85044,113979
28376,113973
22801,113967
70810,113940
72076,113937
8807,113916
75165,113898
83401,113898
49684,113889
27330,113841
60031,113841
95695,113838
21784,113823
44240,113781
60504,113757
84123,113700
55407,113643
75042,113643
33322,113574
99507,113550
92337,113547
30680,113511
98277,113469
32137,113463
91205,113430
60137,113415
33880,113394
52404,113388
80221,113337
921,113289
24153,113283
55110,113277
20164,113241
93637,113229
85021,113229
60610,113178
95926,113175
46038,113169
87144,113157
80906,113157
54901,113130
53221,113103
22033,113073
90005,113043
33172,112992
35405,112983
7107,112950
85015,112932
60090,112899
46901,112899
92307,112890
43017,112878
78028,112860
93305,112803
85233,112692
7753,112662
18017,112647
28262,112641
2920,112641
11358,112638
6360,112623
64804,112563
77339,112536
692,112533
45036,112512
34761,112500
39402,112476
88001,112452
60068,112425
30102,112410
95121,112407
2908,112401
95120,112371
33624,112371
33134,112368
20910,112335
84067,112332
8080,112299
93245,112236
32824,112203
32514,112197
40272,112182
77075,112164
85209,112131
85226,112128
94954,112095
98374,112080
86004,112014
10454,112011
37115,111948
34135,111945
28213,111927
94044,111888
95833,111879
61832,111870
28226,111858
62702,111843
11561,111840
85202,111825
85255,111810
77074,111801
20109,111795
92253,111786
45385,111741
84084,111741
83854,111735
34698,111720
30038,111699
27295,111633
94520,111624
31405,111621
1702,111618
13126,111615
83201,111597
60060,111567
60409,111558
92869,111552
85383,111546
91601,111540
92806,111519
75703,111498
60901,111471
88240,111447
28304,111441
77041,111438
10550,111432
85027,111420
17042,111399
97302,111393
34609,111387
49120,111366
21217,111333
77642,111333
71203,111315
92101,111285
30126,111264
98125,111243
95301,111219
75231,111156
97478,111033
83642,111024
85745,111018
43551,111006
95401,110943
52302,110940
92083,110925
33071,110892
61820,110892
27217,110862
78413,110859
39564,110856
11222,110802
78237,110787
89014,110766
21157,110760
32259,110751
12866,110745
85302,110727
85249,110724
97477,110622
60441,110607
89436,110601
94551,110601
90036,110595
78210,110595
36608,110592
30189,110577
40229,110556
97236,110556
29803,110529
63701,110436
65804,110403
85296,110397
45342,110352
30223,110307
8332,110304
95838,110292
30087,110283
91104,110253
48430,110214
90810,110205
93711,110193
95667,110178
73071,110133
85140,110133
80014,110130
93705,110109
38655,110097
33578,110079
97030,110079
11105,110064
38501,110061
90505,110034
94606,110016
84057,109998
98584,109890
95826,109884
38301,109839
98503,109833
37221,109830
4240,109776
84403,109746
98031,109743
19121,109716
90301,109704
94611,109695
91311,109671
783,109671
985,109659
15317,109605
60185,109581
94561,109545
95928,109533
48186,109518
48127,109503
29588,109497
6450,109479
23111,109470
77520,109467
6790,109446
3103,109428
21093,109395
85210,109392
92706,109371
93454,109344
55330,109320
71854,109314
24018,109296
32257,109290
93021,109266
94534,109248
35216,109224
77386,109221
77087,109197
77042,109155
51503,109128
91763,109125
32955,109122
98006,109092
17402,109080
27520,109071
7302,109056
2139,109047
63011,109041
2138,108942
49441,108924
75501,108894
32526,108891
14624,108888
53590,108882
89107,108846
64068,108840
28054,108810
19132,108804
11418,108768
75206,108744
94061,108735
20817,108720
19147,108684
70119,108684
50317,108621
63114,108603
89431,108567
28625,108567
37601,108546
95382,108528
28562,108528
92807,108513
60543,108468
38125,108450
39110,108429
97128,108423
48234,108420
27516,108417
91001,108378
